Support Ticket ID,Product,Customer,Status,Priority,CSAT Score,TTR (hours),Created Date,Resolved Date,Comments
SUP-1,FNB,Papa01,Closed,High,4,128,2025-05-05,2024-10-29,Pending customer feedback
SUP-2,FNB,Bravo03,Pending,Low,3,167,2025-01-14,2024-10-19,Pending customer feedback
SUP-3,FNC,Tango02,Pending,Urgent,5,55,2025-03-09,2025-05-31,Product feature missing
SUP-4,FNA,India04,Closed,High,3,39,2025-06-29,2024-02-13,Unclear communication
SUP-5,FNB,Delta04,Open,Medium,2,157,2025-04-15,2023-03-25,Helpful and responsive
SUP-6,FNC,Delta03,In Progress,High,5,140,2024-12-10,2023-03-05,Excellent support
SUP-7,FNC,Juliet04,Open,Urgent,1,31,2024-09-17,2025-06-11,Pending customer feedback
SUP-8,FNA,Romeo03,Closed,Medium,1,166,2024-09-16,2025-01-14,Unclear communication
SUP-9,FNB,India04,Open,Low,5,163,2025-06-08,2023-05-31,Resolved after escalation
SUP-10,FNB,Yankee01,Open,High,3,118,2024-11-15,2023-12-04,Excellent support
SUP-11,FNB,Lima01,Pending,Medium,5,116,2024-02-04,2024-08-28,Pending customer feedback
SUP-12,FNB,Oscar02,Pending,Urgent,5,15,2023-03-02,2024-01-05,Customer waited too long
SUP-13,FNB,Kilo03,Open,Medium,5,144,2023-01-02,2023-11-27,Need follow-up
SUP-14,FNA,Romeo02,Pending,Medium,1,147,2024-01-29,2025-07-13,Unclear communication
SUP-15,FNB,Alpha01,Closed,Low,4,80,2024-08-12,2023-04-26,Slow response time
SUP-16,FNC,Victor03,Closed,Medium,3,157,2024-02-01,2024-05-08,Helpful and responsive
SUP-17,FNB,Papa04,Closed,Medium,5,158,2024-06-20,2024-01-30,Customer waited too long
SUP-18,FNA,India03,Pending,High,4,56,2023-06-05,2024-08-29,Resolved after escalation
SUP-19,FNA,Juliet03,In Progress,Low,3,153,2024-09-26,2024-02-08,Customer waited too long
SUP-20,FNB,Bravo02,Pending,Urgent,3,72,2025-06-16,2024-10-02,Product feature missing
SUP-21,FNB,Charlie02,In Progress,High,5,142,2025-08-01,2023-06-28,Excellent support
SUP-22,FNC,Delta03,Open,Low,3,18,2023-10-18,2023-11-06,Slow response time
SUP-23,FNC,Romeo01,In Progress,Medium,4,8,2023-03-23,2024-12-18,Slow response time
SUP-24,FNB,Charlie04,In Progress,Low,2,123,2023-04-04,2023-07-12,Helpful and responsive
SUP-25,FNA,Hotel04,Closed,Low,5,160,2025-03-10,2025-06-25,Excellent support
SUP-26,FNC,November03,Open,Urgent,5,55,2023-07-14,2025-01-18,Helpful and responsive
SUP-27,FNB,Romeo01,In Progress,Medium,3,103,2024-04-20,2023-05-17,Pending customer feedback
SUP-28,FNA,Kilo02,In Progress,Urgent,2,113,2023-12-31,2024-09-09,Excellent support
SUP-29,FNA,Alpha02,In Progress,Low,4,143,2025-07-20,2024-03-20,Unclear communication
SUP-30,FNC,Kilo01,In Progress,Urgent,1,18,2023-10-22,2023-04-08,Resolved after escalation
SUP-31,FNA,Yankee01,Open,High,2,140,2024-04-17,2025-01-16,Need follow-up
SUP-32,FNB,Kilo02,Open,Medium,3,14,2023-06-29,2024-01-08,Slow response time
SUP-33,FNB,Bravo02,In Progress,Low,4,58,2023-04-23,2025-03-15,Pending customer feedback
SUP-34,FNB,Golf02,Closed,Urgent,3,103,2023-06-20,2023-03-06,Customer waited too long
SUP-35,FNB,Whiskey02,Closed,High,5,83,2024-05-07,2023-07-06,Unclear communication
SUP-36,FNA,Romeo04,Open,Medium,3,147,2023-11-13,2024-07-25,Unclear communication
